﻿objectid;insee;annee;sante_plaf;educ_plaf;revenu_plaf;idh2;nomcom;pop
3621;92073;1999;0.51230276;0.51861258;0.59165872;0.54085802;Suresnes;39697
3812;95352;1999;0.42985625;0.34922587;0.58699973;0.45536062;Luzarches;3906
3836;95446;1999;0.47164036;0.42654255;0.62724133;0.50847475;Nesles-la-Vallée;1831
3837;95447;1999;;0.36656891;0.58323529;;Neuilly-en-Vexin;210
114;77098;2013;0.40834126;0.31869062;0.52524408;0.41742532;Châteaubleau;349
321;77310;2013;0.29998165;0.29644282;0.49678605;0.36440351;Montigny-le-Guesdier;299
494;77491;2013;0.69025389;0.59640616;0.59303412;0.62656472;Veneux-les-Sablons;4813
653;78320;2013;0.63901615;0.31282111;0.54119999;0.49767909;Jeufosse;424
699;78417;2013;0.72824106;0.74547801;0.65660366;0.71010758;Montchauvet;271
830;91114;2013;0.64522309;0.56160117;0.58918554;0.59866993;Brunoy;26066
855;91198;2013;0.64485116;0.48993255;0.6237833;0.586189;D'Huison-Longueville;1471
863;91223;2013;0.49085145;0.32901026;0.35495174;0.39160449;Étampes;24502
991;91692;2013;0.68841342;0.44093255;0.34095994;0.49010197;Les Ulis;24914
1197;95288;2013;0.56265992;0.53465249;0.55542743;0.55091328;Groslay;8706
1247;95483;2013;0.66853498;0.50733138;0.59367314;0.5898465;Le Perchay;563
1405;77089;2006;0.27717759;0.42023037;0.49817676;0.39852824;La Chapelle-Rablais;889
1432;77118;2006;0.51647768;0.38393575;0.58286919;0.49442754;Claye-Souilly;11086
1590;77280;2006;0.38478877;0.25900469;0.54115405;0.39498251;Mary-sur-Marne;1170
1658;77352;2006;0.60387378;0.36186609;0.56335359;0.50969782;Ozouer-le-Voulgis;1644
1725;77421;2006;;0.2094101;0.39121648;;Saint-Mars-Vieux-Maisons;280
1728;77425;2006;0.6094317;0.5221528;0.64697913;0.59285454;Saint-Martin-en-Bière;830
1745;77442;2006;0.61744366;0.44454905;0.58409698;0.54869656;Samoreau;2290
1962;78343;2006;0.79181303;0.80244541;0.83622179;0.81016008;Les Loges-en-Josas;1453
2166;91232;2006;0.47104616;0.41517834;0.53787017;0.47469822;La Ferté-Alais;4024
2213;91432;2006;0.61437001;0.3673008;0.56679273;0.51615452;Morangis;11481
2342;93039;2006;0.4335325;0.27233048;0.19659993;0.30082097;L'Île-Saint-Denis;7212
2539;95450;2006;0.64942005;0.5905196;0.69667978;0.64553981;Neuville-sur-Oise;1560
2542;95459;2006;0.73278864;0.36372178;0.53678083;0.54443042;Nucourt;774
2751;77138;1999;0.6400362;0.23802926;0.53819422;0.47208656;Courtomer;554
2853;77244;1999;0.526424;0.26292855;0.49670079;0.42868444;Larchant;695
2960;77355;1999;;0.02251368;0.48165448;;Paroy;193
2975;77371;1999;0.41804614;0.16188311;0.43265202;0.33752709;Pommeuse;2473
3114;77517;1999;0.40156815;0.2405527;0.59281961;0.41164682;Villevaudé;1602
3162;78084;1999;0.67808059;0.33844856;0.60084921;0.53912612;Boissy-sans-Avoir;519
3279;78383;1999;0.53228841;0.45414236;0.58732217;0.52458431;Maurepas;19567
3314;78470;1999;0.5967449;0.42126697;0.59846877;0.53882688;Orphin;927
3537;91526;1999;;0.2688172;;;Roinvilliers;61
3593;92009;1999;0.51582943;0.46799877;0.57353984;0.51912268;Bois-Colombes;23902
3609;92046;1999;0.46916235;0.34515488;0.48047741;0.43159821;Malakoff;29419
3736;95061;1999;0.50041732;0.51808407;0.72719097;0.58189745;Béthemont-la-Forêt;449
3771;95210;1999;0.6225362;0.58505456;0.6767187;0.62810315;Enghien-les-Bains;10367
3786;95258;1999;0.51294089;0.46701457;0.62400142;0.53465229;Frouville;373
3855;95510;1999;;0.29297637;0.52577803;;Puiseux-Pontoise;421
54;77035;2013;0.55615555;0.43093695;0.51486779;0.50065343;Blennes;566
94;77077;2013;0.51615202;0.3935;0.52856127;0.47940443;Chambry;947
135;77120;2013;0.42384357;0.30201173;0.47106156;0.39897229;Cocherel;631
221;77209;2013;0.60058098;0.63842815;0.71915697;0.65272203;Gouvernes;1118
263;77252;2013;0.82383797;0.4401349;0.57264024;0.61220437;Limoges-Fourches;454
